gene	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
UBB	45	26	20	64	23	21	36	22	47	56	41	12	33	13	34	10
ATP5F1A	182	373	202	236	457	108	216	196	271	259	165	262	298	248	572	291
PRKACA	16	4	7	13	16	7	24	16	6	27	14	6	23	9	15	7
PRKACB	24	39	8	25	32	24	6	16	42	10	41	28	3	13	17	14
PSMD14	212	39	143	142	113	119	102	143	75	137	193	238	197	408	209	266
UQCRC2	81	75	201	90	113	121	162	50	168	343	181	90	129	112	89	133
CDC42	26	21	15	21	2	19	22	8	35	18	30	39	26	3	34	12
NDUFS4	84	32	22	42	51	102	38	49	53	60	33	41	66	51	104	63
SDHB	277	285	265	394	381	790	383	380	283	335	383	419	297	284	532	361
NDUFB5	47	56	103	68	77	78	84	78	42	57	82	66	84	100	34	70
NDUFV1	145	397	247	195	194	256	188	421	213	188	151	165	196	193	194	451
SNAP25	61	241	196	88	171	139	210	137	325	489	485	556	479	514	447	478
PDHB	88	123	187	56	129	97	64	231	108	70	170	189	62	61	70	157
COX4I1	8	13	5	15	11	1	12	7	9	2	2	14	8	3	4	6
GRB2	24	20	35	14	17	30	11	22	44	7	16	17	22	27	30	19
HDAC1	64	184	90	221	63	87	122	152	72	106	47	222	133	72	214	238
CREBBP	32	32	19	40	30	27	39	28	27	16	20	9	26	42	63	50
NFKB1	10	9	3	5	8	7	5	10	16	21	13	8	5	6	1	4
KAT2B	55	190	147	144	123	67	106	61	47	19	87	33	64	11	21	31
SP1	321	121	198	114	183	138	127	103	52	81	109	180	143	242	285	90
IKBKB	96	264	119	164	166	105	102	83	143	81	75	73	224	114	184	155
ITGB5	296	328	328	252	124	153	215	215	53	74	329	234	181	282	79	212
ITGB8	528	409	513	406	250	312	310	333	745	473	291	407	597	204	486	522
YY1	11	12	12	18	14	10	5	25	23	7	10	4	18	11	28	9
HDAC4	277	153	54	138	248	139	54	207	89	123	19	46	135	341	101	289
GSN	147	93	110	17	126	87	39	112	147	60	145	49	130	191	117	105
ITGA6	13	18	7	14	9	11	7	9	13	7	11	5	4	10	14	0
YAP1	92	100	90	133	34	83	70	70	119	67	102	60	182	93	55	77
FLNB	112	128	110	173	58	85	182	99	71	101	116	123	124	116	222	198
EZR	10	12	15	19	12	3	19	8	13	9	3	10	10	15	24	5
APP	39	12	49	25	29	21	23	50	26	55	27	23	32	19	18	43
MAPT	106	175	91	125	307	298	183	155	114	175	185	226	235	91	74	126
PSEN1	11	17	12	8	4	1	11	17	27	27	6	21	17	9	5	18
PSEN2	170	162	140	114	150	102	85	157	75	175	111	62	150	67	74	161
ACTB	210	174	402	242	123	318	170	409	336	156	214	239	222	303	273	208
GAPDH	17	22	5	9	4	9	1	10	20	12	11	10	14	12	13	20
TUBB	10	10	9	11	7	24	12	11	7	19	22	23	12	19	10	21
SDHA	23	24	29	25	28	9	32	39	15	13	27	18	16	20	18	7
CALM1	2	9	13	22	7	6	12	16	8	14	11	22	7	9	10	7
CALM2	78	65	13	27	48	45	43	66	47	60	82	67	61	38	30	73
CALM3	27	20	24	14	21	24	21	12	25	5	15	10	14	4	13	41
ATP1A1	55	38	31	77	70	48	86	98	20	42	21	16	59	44	33	46
ATP1A2	251	168	138	72	437	419	148	257	183	301	173	372	187	378	78	315
ATP1A3	70	54	116	82	86	52	44	44	52	62	46	87	59	86	94	48
ATP2B1	14	9	27	21	8	33	16	14	19	12	29	5	10	12	25	9
ATP2B2	11	34	19	11	9	8	25	17	29	21	14	11	12	6	12	26
SYN1	187	182	241	239	174	217	263	164	131	114	228	108	304	290	248	409
SYN2	11	5	3	8	8	14	13	15	14	14	2	9	14	7	2	8
SYP	29	15	22	28	11	15	4	12	14	20	5	24	4	5	20	30
SYT1	492	257	342	433	252	343	518	585	257	393	323	791	478	231	389	192
NEFL	120	53	94	135	93	120	109	140	92	59	29	167	77	60	57	44
NEFM	174	277	187	101	351	129	159	169	455	272	146	261	235	514	369	153
NEFH	83	67	29	89	61	41	60	71	66	96	22	57	72	93	104	58
GFAP	1	7	5	12	8	16	8	4	11	0	10	6	4	7	8	8
AIF1	10	12	18	11	4	4	21	3	20	5	4	13	11	3	6	18
CD68	30	28	25	7	34	31	32	63	50	64	11	10	14	26	32	43
TNF	43	41	49	65	63	44	43	59	69	116	60	194	209	61	99	82
IL1B	434	450	439	548	380	283	624	233	364	211	533	544	194	266	228	224
IL6	489	251	771	536	327	293	371	276	237	367	487	282	334	782	261	313
CXCL8	197	373	185	183	213	196	38	127	211	143	401	77	187	206	384	143
CCL2	483	156	403	540	483	244	768	383	459	412	351	272	304	342	953	586
NFKBIA	904	1057	883	1401	518	718	608	1262	329	527	795	291	369	608	278	469
RELA	30	26	17	16	32	16	19	24	16	6	15	20	12	3	8	9
TP53	194	186	175	94	130	236	220	150	127	158	147	207	248	67	99	79
MDM2	10	20	2	14	12	1	5	3	11	6	4	10	12	7	12	13
CDKN1A	83	44	50	53	48	104	84	115	56	29	26	15	57	16	28	39
BAX	205	206	269	221	194	123	147	110	317	62	172	200	118	47	111	76
BCL2	84	90	126	72	122	128	51	159	82	134	56	71	120	164	69	86
CASP3	14	14	10	5	10	8	13	3	10	29	14	10	7	12	6	9
CASP9	18	19	41	28	46	31	15	31	19	21	17	45	18	41	40	12
PARP1	26	50	72	30	29	36	34	27	63	93	55	51	25	50	87	42
ATM	7	10	8	7	5	8	14	2	8	11	10	16	8	5	10	11
ATR	533	286	245	943	863	459	231	104	275	293	188	289	173	270	234	260
BRCA1	5	5	9	4	5	4	4	11	10	3	8	4	1	2	8	3
BRCA2	160	202	157	113	227	148	232	130	98	73	33	40	45	47	69	91
RAD51	60	58	42	33	65	78	63	75	22	15	37	18	23	33	25	18
XRCC1	49	93	74	60	24	56	92	93	69	47	59	82	54	66	56	41
ERCC1	2	6	3	6	3	7	3	5	25	18	15	26	38	16	19	10
MKI67	28	36	46	43	19	54	29	28	78	133	30	129	73	127	107	110
PCNA	203	239	251	337	214	276	354	599	372	313	553	674	451	241	361	520
CCND1	29	63	34	52	46	30	12	36	13	5	25	8	5	10	11	14
CCNE1	566	574	297	619	447	446	667	557	355	435	504	598	477	476	406	819
CDK2	544	368	500	463	898	277	225	696	643	380	635	340	314	289	270	281
CDK4	21	29	28	17	25	19	16	25	12	15	31	19	15	19	20	11
CDK6	3	4	7	13	4	8	13	4	8	7	6	5	5	3	2	3
RB1	263	183	318	357	107	124	296	207	176	511	150	149	306	249	168	399
E2F1	4	0	1	3	3	3	3	1	5	1	4	13	6	11	1	0
MYC	42	95	41	76	146	34	76	113	35	48	51	167	55	94	63	112
MAX	42	92	59	44	71	65	68	57	79	52	45	62	67	70	62	40
JUN	28	42	22	23	66	39	34	41	43	29	37	31	29	76	45	40
FOS	223	257	265	238	145	202	469	238	266	324	314	131	285	149	214	197
EGR1	5	21	25	8	24	21	15	22	36	9	23	17	15	8	35	38
ATF3	139	106	56	291	146	73	145	189	130	92	189	77	169	161	103	154
STAT1	42	48	34	42	55	32	53	13	30	28	43	60	78	40	21	50
STAT3	30	19	98	83	57	35	59	94	63	54	86	76	34	45	38	42
STAT5A	30	25	19	50	28	18	14	27	31	30	20	16	38	21	26	16
JAK1	1	45	13	26	25	36	18	51	8	17	21	31	26	61	21	14
JAK2	89	73	126	61	60	29	39	167	103	110	147	19	67	93	99	106
SOCS1	73	12	44	42	24	32	12	33	64	36	17	65	18	48	21	77
SOCS3	25	7	9	33	44	16	40	14	21	18	29	42	29	10	37	24
IRF1	52	130	254	85	150	118	107	170	122	75	60	154	106	182	197	137
SYNTH0001	128	233	86	86	118	110	95	149	107	112	99	113	95	148	130	147
SYNTH0002	120	629	803	347	316	636	600	293	487	367	280	381	205	173	189	324
SYNTH0003	8	14	20	7	8	11	23	19	2	11	16	21	15	12	3	14
SYNTH0004	126	173	215	208	361	76	246	187	237	243	251	172	229	296	263	125
SYNTH0005	41	32	27	22	50	17	48	50	53	56	19	28	25	24	23	30
SYNTH0006	9	10	13	19	8	6	6	8	2	7	1	7	17	11	7	7
SYNTH0007	68	40	84	70	154	80	120	104	254	272	206	208	41	221	362	80
SYNTH0008	8	5	1	7	9	10	12	5	12	4	13	5	5	7	12	9
SYNTH0009	17	5	8	2	9	6	20	17	10	20	15	9	42	3	23	4
SYNTH0010	232	275	277	285	363	361	419	392	388	124	388	365	279	252	383	358
SYNTH0011	23	10	19	12	13	21	17	13	7	3	6	6	4	3	6	15
SYNTH0012	5	10	6	3	7	11	3	6	12	7	16	17	19	4	18	8
SYNTH0013	17	27	26	19	35	9	21	23	22	21	23	31	34	30	17	6
SYNTH0014	10	29	34	17	19	25	11	21	25	32	40	25	78	38	35	76
SYNTH0015	4	9	18	7	34	39	4	23	9	39	8	9	11	17	28	40
