gene	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
UBB	45	74	77	64	48	43	102	36	23	50	86	34	36
ATP5F1A	290	641	383	343	262	509	143	275	257	223	508	616	491
PRKACA	21	25	18	24	34	11	16	32	25	24	19	9	23
PRKACB	72	48	18	30	30	47	35	31	42	28	15	39	16
PSMD14	193	253	279	239	138	253	159	384	175	118	273	191	208
UQCRC2	242	185	249	144	265	281	184	203	182	265	256	265	129
CDC42	26	27	13	43	73	19	40	21	33	23	36	19	59
NDUFS4	38	142	113	120	117	135	67	121	119	228	89	81	71
SDHB	253	531	450	589	523	1141	306	835	763	345	316	454	281
NDUFB5	150	163	81	158	144	108	176	133	96	84	91	93	95
NDUFV1	287	419	101	209	396	87	426	334	200	565	348	307	432
SNAP25	369	476	403	604	503	421	833	886	274	809	594	364	779
PDHB	166	115	61	327	256	224	155	73	272	168	156	124	104
COX4I1	24	18	14	9	18	13	16	19	15	6	20	1	12
GRB2	33	32	57	39	43	12	18	12	48	26	40	12	27
HDAC1	197	183	281	123	178	135	106	203	234	316	142	212	143
CREBBP	55	49	87	72	16	24	37	88	59	64	60	35	29
NFKB1	19	18	10	18	8	14	10	12	23	5	14	7	27
KAT2B	124	48	135	76	51	103	63	84	30	46	62	77	121
SP1	81	190	98	107	142	120	217	106	307	242	266	195	295
IKBKB	187	145	107	198	100	257	242	180	104	157	190	135	305
ITGB5	524	727	394	470	318	436	460	336	340	214	465	456	502
ITGB8	456	429	912	92	467	711	929	646	1019	404	893	370	534
YY1	15	26	22	20	46	15	25	18	13	17	36	31	10
HDAC4	216	149	288	266	285	94	262	205	301	322	243	154	149
GSN	113	140	207	87	127	72	201	54	220	117	126	71	158
ITGA6	29	31	12	26	31	11	7	14	6	8	14	14	14
YAP1	95	254	85	116	125	128	130	103	153	138	100	57	58
FLNB	74	122	207	76	166	147	290	402	307	73	186	341	240
EZR	15	16	22	21	12	16	24	18	22	19	11	15	10
APP	44	84	21	91	29	63	59	59	50	116	90	38	40
MAPT	288	307	221	446	313	238	250	207	237	210	413	159	257
PSEN1	24	25	10	13	20	22	44	28	16	11	26	20	11
PSEN2	212	250	189	292	239	311	168	207	141	159	161	168	175
ACTB	857	583	216	453	152	458	401	320	441	603	432	435	434
GAPDH	31	24	41	11	12	20	21	36	23	14	21	12	22
TUBB	19	16	19	24	10	8	31	17	16	34	12	18	5
SDHA	31	26	29	11	44	59	8	69	38	36	56	45	40
CALM1	26	20	5	10	20	10	17	10	21	30	10	14	19
CALM2	42	103	30	110	64	186	143	94	54	78	48	118	97
CALM3	26	22	31	55	17	18	30	37	33	27	9	24	18
ATP1A1	74	103	68	90	77	56	22	29	40	57	32	41	31
ATP1A2	216	395	225	297	235	732	134	159	464	633	172	213	390
ATP1A3	79	88	77	156	79	147	170	56	114	61	236	77	146
ATP2B1	44	14	39	50	20	16	22	42	11	21	30	24	31
ATP2B2	22	33	2	24	28	13	49	6	15	36	22	14	19
SYN1	407	784	206	294	218	430	334	414	315	370	433	239	222
SYN2	11	11	15	4	9	13	18	17	13	15	5	16	11
SYP	45	29	49	18	41	13	25	16	21	38	44	35	37
