gene	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
UBB	10	32	41	19	30	28	35	17	32	46	26	22	65	37	19	30	23	10	26
ATP5F1A	215	272	552	232	95	188	744	293	203	210	258	469	157	298	335	264	203	160	269
PRKACA	17	8	4	17	4	23	8	12	23	8	10	20	32	14	6	23	17	28	6
PRKACB	16	29	24	10	13	15	23	22	7	21	14	31	15	21	22	17	18	28	17
PSMD14	144	148	372	110	211	296	264	81	219	297	107	308	42	216	148	146	328	88	126
UQCRC2	130	124	152	86	246	118	101	97	164	192	60	184	289	101	146	23	41	153	139
CDC42	28	36	21	7	27	7	17	28	16	30	4	15	21	28	8	32	9	13	29
NDUFS4	60	45	108	75	47	47	48	140	53	35	65	53	66	39	51	98	76	124	44
SDHB	478	509	951	453	484	509	456	296	686	931	487	333	664	614	341	501	145	404	525
NDUFB5	69	52	78	38	67	119	69	73	55	50	91	107	61	55	70	147	74	106	83
NDUFV1	74	273	339	305	282	227	431	181	139	234	264	216	385	397	162	293	106	155	169
SNAP25	310	165	309	206	235	158	363	141	97	168	435	315	312	522	549	751	337	626	364
PDHB	76	203	196	118	166	178	164	118	113	152	106	122	127	152	89	119	151	168	141
COX4I1	6	12	17	9	11	8	18	7	7	4	16	20	24	7	25	9	6	19	7
GRB2	21	8	25	11	33	9	20	35	16	14	40	29	26	9	11	10	33	32	28
HDAC1	46	135	64	78	159	97	133	66	124	159	67	156	82	235	173	86	279	91	129
CREBBP	45	29	15	69	37	49	19	25	19	20	65	39	87	20	37	52	39	27	34
NFKB1	10	22	3	17	3	14	10	18	16	24	27	4	5	10	6	18	4	8	13
KAT2B	121	203	56	103	152	124	132	116	129	127	45	41	60	49	19	89	61	32	51
SP1	227	277	154	62	220	122	71	115	113	164	213	165	161	312	268	304	185	140	185
IKBKB	190	117	79	196	161	136	66	153	192	231	109	99	145	106	98	260	191	79	196
ITGB5	336	123	367	249	157	507	172	422	553	326	146	452	319	116	459	345	204	236	312
ITGB8	790	538	248	660	960	513	711	409	413	472	596	413	166	624	429	777	641	415	420
YY1	25	11	15	15	18	24	11	40	18	19	15	12	16	40	13	12	14	16	24
HDAC4	111	133	86	96	106	339	141	116	186	231	182	165	107	190	122	184	68	333	348
GSN	141	67	108	108	53	175	106	134	112	38	122	119	94	242	197	148	55	87	90
ITGA6	14	6	6	17	7	2	10	4	15	20	10	9	23	9	26	17	16	17	12
YAP1	89	148	97	106	141	181	114	117	98	171	149	132	163	121	47	35	73	68	67
FLNB	137	174	71	259	186	149	213	180	96	162	319	94	127	69	210	158	166	164	63
EZR	9	15	9	10	17	11	7	14	16	7	21	12	14	15	9	5	4	11	10
APP	19	13	67	23	43	22	24	30	54	19	59	46	63	19	29	37	46	29	38
MAPT	133	266	162	192	249	184	250	240	342	205	139	180	218	202	151	271	126	135	182
PSEN1	11	11	9	14	15	14	15	11	30	10	38	22	3	22	15	16	14	32	6
PSEN2	203	96	184	156	205	149	127	167	20	247	131	108	121	97	236	232	70	199	63
ACTB	197	407	187	406	290	297	314	220	282	366	201	214	269	529	579	240	279	298	283
GAPDH	18	10	16	9	9	7	11	16	12	16	26	13	8	13	21	24	16	11	7
TUBB	16	17	21	2	16	10	6	8	12	6	17	29	15	15	4	9	12	23	23
SDHA	43	13	15	33	21	19	14	36	24	36	13	21	11	25	19	23	21	29	24
