GeneSymbol	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
UBB	5.5236	4.7549	4.3923	6.0224	4.5850	4.4594	5.2095	4.5236	5.5850	5.8329	5.3923	3.7004	5.0875	3.8074	5.1293	3.4594
ATP5F1A	7.5157	8.5469	7.6653	7.8887	8.8392	6.7682	7.7616	7.6221	8.0875	8.0224	7.3750	8.0389	8.2240	7.9600	9.1624	8.1898
PRKACA	4.0875	2.3219	3.0000	3.8074	4.0875	3.0000	4.6439	4.0875	2.8074	4.8074	3.9069	2.8074	4.5850	3.3219	4.0000	3.0000
PRKACB	4.6439	5.3219	3.1699	4.7004	5.0444	4.6439	2.8074	4.0875	5.4263	3.4594	5.3923	4.8580	2.0000	3.8074	4.1699	3.9069
PSMD14	7.7347	5.3219	7.1699	7.1599	6.8329	6.9069	6.6865	7.1699	6.2479	7.1085	7.5999	7.9009	7.6294	8.6760	7.7142	8.0607
UQCRC2	6.3576	6.2479	7.6582	6.5078	6.8329	6.9307	7.3487	5.6724	7.4009	8.4263	7.5078	6.5078	7.0224	6.8202	6.4919	7.0661
CDC42	4.7549	4.4594	4.0000	4.4594	1.5850	4.3219	4.5236	3.1699	5.1699	4.2479	4.9542	5.3219	4.7549	2.0000	5.1293	3.7004
NDUFS4	6.4094	5.0444	4.5236	5.4263	5.7004	6.6865	5.2854	5.6439	5.7549	5.9307	5.0875	5.3923	6.0661	5.7004	6.7142	6.0000
SDHB	8.1189	8.1599	8.0553	8.6257	8.5774	9.6275	8.5850	8.5736	8.1497	8.3923	8.5850	8.7142	8.2192	8.1548	9.0580	NA
NDUFB5	5.5850	5.8329	6.7004	6.1085	6.2854	6.3038	6.4094	6.3038	5.4263	5.8580	6.3750	6.0661	6.4094	6.6582	5.1293	6.1497
NDUFV1	7.1898	8.6366	7.9542	7.6147	7.6073	8.0056	7.5622	8.7211	7.7415	7.5622	7.2479	7.3750	7.6221	7.5999	7.6073	8.8202
SNAP25	5.9542	7.9189	7.6221	6.4757	7.4263	7.1293	7.7211	7.1085	8.3487	8.9366	8.9248	9.1215	8.9069	9.0084	8.8074	8.9039
PDHB	6.4757	6.9542	7.5546	5.8329	7.0224	6.6147	6.0224	7.8580	6.7682	6.1497	7.4179	7.5699	5.9773	5.9542	6.1497	7.3038
COX4I1	3.1699	3.8074	2.5850	4.0000	3.5850	1.0000	3.7004	3.0000	3.3219	1.5850	1.5850	3.9069	3.1699	2.0000	2.3219	2.8074
GRB2	4.6439	4.3923	5.1699	3.9069	4.1699	4.9542	3.5850	4.5236	5.4919	3.0000	4.0875	4.1699	4.5236	4.8074	4.9542	4.3219
