GeneSymbol	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
UBB	5.5236	6.2288	6.2854	6.0224	5.6147	5.4594	6.6865	5.2095	4.5850	5.6724	6.4429	5.1293	5.2095
ATP5F1A	8.1849	9.3264	8.5850	8.4263	8.0389	8.9944	7.1699	8.1085	8.0112	7.8074	8.9915	9.2691	8.9425
PRKACA	4.4594	4.7004	4.2479	4.6439	5.1293	3.5850	4.0875	5.0444	4.7004	4.6439	4.3219	3.3219	4.5850
PRKACB	6.1898	5.6147	4.2479	4.9542	4.9542	5.5850	5.1699	5.0000	5.4263	4.8580	4.0000	5.3219	4.0875
PSMD14	7.5999	7.9887	8.1293	7.9069	7.1189	7.9887	7.3219	8.5887	7.4594	6.8948	8.0980	7.5850	7.7074
UQCRC2	7.9248	7.5392	7.9658	7.1799	8.0553	8.1396	7.5314	7.6724	7.5157	8.0553	8.0056	8.0553	7.0224
CDC42	4.7549	4.8074	3.8074	5.4594	6.2095	4.3219	5.3576	4.4594	5.0875	4.5850	5.2095	4.3219	5.9069
NDUFS4	5.2854	7.1599	6.8329	6.9189	6.8826	7.0875	6.0875	6.9307	6.9069	7.8392	6.4919	6.3576	6.1699
SDHB	7.9887	9.0553	8.8170	9.2046	9.0334	10.1573	8.2621	9.7074	9.5774	8.4346	8.3083	8.8297	8.1396
NDUFB5	7.2384	7.3576	6.3576	7.3129	7.1799	6.7682	7.4676	7.0661	6.5999	6.4094	6.5236	6.5546	6.5850
NDUFV1	8.1699	8.7142	6.6724	7.7142	8.6330	6.4594	8.7381	8.3880	7.6511	9.1447	8.4471	8.2668	8.7582
SNAP25	8.5314	8.8978	8.6582	9.2408	8.9773	8.7211	9.7039	9.7928	8.1033	9.6618	9.2167	8.5118	9.6073
PDHB	7.3837	6.8580	5.9542	8.3576	8.0056	7.8138	7.2854	6.2095	8.0928	7.4009	7.2946	6.9658	6.7142
COX4I1	4.6439	4.2479	3.9069	3.3219	4.2479	3.8074	4.0875	4.3219	4.0000	2.8074	4.3923	1.0000	3.7004
GRB2	5.0875	5.0444	5.8580	5.3219	5.4594	3.7004	4.2479	3.7004	5.6147	4.7549	5.3576	3.7004	4.8074
HDAC1	7.6294	7.5236	8.1396	6.9542	7.4838	7.0875	6.7415	7.6724	7.8765	8.3083	7.1599	7.7347	7.1699
CREBBP	5.8074	5.6439	6.4594	6.1898	4.0875	4.6439	5.2479	6.4757	5.9069	6.0224	5.9307	5.1699	4.9069
NFKB1	4.3219	4.2479	3.4594	4.2479	3.1699	3.9069	3.4594	3.7004	4.5850	2.5850	3.9069	3.0000	4.8074
KAT2B	6.9658	5.6147	7.0875	6.2668	5.7004	6.7004	6.0000	6.4094	4.9542	5.5546	5.9773	6.2854	6.9307
SP1	6.3576	7.5774	6.6294	6.7549	7.1599	6.9189	7.7682	6.7415	8.2668	7.9248	8.0607	7.6147	8.2095
IKBKB	7.5546	7.1898	6.7549	7.6366	NA	8.0112	7.9248	7.4998	6.7142	7.3038	7.5774	7.0875	8.2574
ITGB5	9.0362	9.5078	8.6257	8.8796	8.3174	8.7715	8.8486	8.3966	8.4136	7.7482	8.8642	8.8361	8.9744
ITGB8	8.8361	8.7482	9.8345	6.5392	8.8704	9.4757	9.8611	9.3376	9.9944	8.6618	9.8041	8.5353	9.0634
YY1	4.0000	4.7549	4.5236	4.3923	5.5546	4.0000	4.7004	4.2479	3.8074	4.1699	5.2095	5.0000	3.4594
HDAC4	7.7616	7.2288	8.1749	8.0607	8.1599	6.5699	8.0389	7.6865	8.2384	8.3354	7.9307	7.2761	7.2288
GSN	6.8329	7.1396	7.7004	6.4594	7.0000	6.1898	7.6582	5.7814	7.7879	6.8826	6.9887	6.1699	7.3129
ITGA6	4.9069	5.0000	3.7004	4.7549	5.0000	3.5850	3.0000	3.9069	2.8074	3.1699	3.9069	3.9069	3.9069
YAP1	6.5850	7.9944	6.4263	6.8704	6.9773	7.0112	7.0334	6.7004	7.2668	7.1189	6.6582	5.8580	5.8826
FLNB	6.2288	6.9425	7.7004	6.2668	7.3837	7.2095	8.1849	8.6546	8.2668	6.2095	7.5469	8.4179	7.9129
EZR	4.0000	4.0875	4.5236	4.4594	3.7004	NA	4.6439	4.2479	4.5236	4.3219	3.5850	4.0000	3.4594
APP	5.4919	6.4094	4.4594	6.5236	4.9069	6.0000	5.9069	5.9069	5.6724	6.8704	6.5078	5.2854	5.3576
MAPT	8.1749	8.2668	7.7944	8.8041	8.2946	7.9009	7.9715	7.7004	7.8948	7.7211	8.6935	7.3219	8.0112
PSEN1	4.6439	4.7004	3.4594	3.8074	4.3923	4.5236	5.4919	4.8580	4.0875	3.5850	4.7549	4.3923	3.5850
PSEN2	7.7347	7.9715	7.5699	8.1948	7.9069	8.2854	7.4009	7.7004	7.1497	7.3219	7.3399	7.4009	7.4594
ACTB	9.7448	9.1898	7.7616	8.8265	7.2574	8.8424	8.6511	8.3264	8.7879	9.2384	8.7582	8.7682	8.7649
GAPDH	5.0000	4.6439	5.3923	3.5850	3.7004	4.3923	4.4594	5.2095	4.5850	3.9069	4.4594	3.7004	4.5236
TUBB	4.3219	4.0875	4.3219	4.6439	3.4594	3.1699	5.0000	4.1699	4.0875	5.1293	3.7004	4.2479	2.5850
SDHA	5.0000	4.7549	4.9069	3.5850	5.4919	5.9069	3.1699	6.1293	5.2854	5.2095	5.8329	5.5236	5.3576
CALM1	4.7549	4.3923	2.5850	3.4594	4.3923	3.4594	4.1699	3.4594	4.4594	4.9542	3.4594	3.9069	4.3219
CALM2	5.4263	6.7004	4.9542	6.7944	6.0224	7.5469	7.1699	6.5699	5.7814	6.3038	5.6147	6.8948	6.6147
CALM3	4.7549	4.5236	5.0000	5.8074	4.1699	4.2479	4.9542	5.2479	5.0875	4.8074	3.3219	4.6439	4.2479
ATP1A1	6.2288	6.7004	6.1085	6.5078	6.2854	5.8329	4.5236	4.9069	5.3576	5.8580	5.0444	5.3923	5.0000
ATP1A2	7.7616	8.6294	7.8202	8.2192	7.8826	9.5177	7.0768	7.3219	8.8611	9.3083	7.4346	7.7415	8.6110
ATP1A3	6.3219	6.4757	6.2854	7.2946	6.3219	7.2095	7.4179	5.8329	6.8455	5.9542	7.8887	6.2854	7.1997
ATP2B1	5.4919	3.9069	5.3219	5.6724	4.3923	4.0875	4.5236	5.4263	3.5850	4.4594	4.9542	4.6439	5.0000
ATP2B2	4.5236	5.0875	1.5850	4.6439	4.8580	3.8074	5.6439	2.8074	4.0000	5.2095	4.5236	3.9069	4.3219
SYN1	8.6724	9.6165	7.6935	8.2046	7.7748	8.7515	8.3880	8.6970	8.3038	8.5353	8.7616	7.9069	7.8009
SYN2	3.5850	3.5850	4.0000	2.3219	3.3219	3.8074	4.2479	4.1699	3.8074	4.0000	2.5850	4.0875	3.5850
SYP	5.5236	4.9069	5.6439	4.2479	5.3923	3.8074	4.7004	4.0875	4.4594	5.2854	5.4919	5.1699	5.2479
SYT1	8.5157	9.7022	8.3264	8.5196	7.7142	8.3083	8.9972	8.3354	9.0389	8.3038	8.3531	7.2946	9.7649
NEFL	6.7415	7.4263	7.8455	6.7549	6.0444	7.0661	7.2668	6.8202	6.6724	7.0980	6.8704	7.4429	7.8138
NEFM	8.7313	8.0553	8.1033	9.1241	8.6110	8.1189	7.6653	7.1799	8.9337	8.7582	8.1948	9.1189	9.1849
NEFH	6.8455	7.4346	7.0444	5.0875	6.5078	5.8580	6.5236	7.4594	5.4263	6.8580	7.2574	6.9069	6.2854
GFAP	4.2479	3.9069	2.8074	3.4594	5.0444	5.0000	3.0000	4.5236	3.9069	5.2095	3.8074	3.9069	3.5850
AIF1	4.7549	4.4594	4.3219	1.5850	3.4594	3.0000	3.3219	4.7549	3.0000	4.7004	3.7004	4.7004	3.7004
CD68	5.8074	5.0000	4.8580	5.0000	4.8074	5.1293	4.0875	5.7549	5.2854	4.8580	5.6724	5.8074	4.7549
TNF	5.3219	5.9773	6.5236	5.7004	5.8329	6.8455	6.7944	6.8948	7.5078	7.1293	7.2668	6.5546	5.9307
IL1B	9.7056	10.0728	9.4919	8.1497	8.8580	9.4615	8.2854	8.2854	8.9366	8.6582	9.5038	8.2479	8.3354
IL6	NA	9.7515	9.7465	9.5999	9.6689	9.4594	9.5603	9.7781	9.1624	9.0875	8.4429	9.4030	8.3443
CXCL8	8.6795	8.7142	7.9307	8.4388	8.6935	9.1396	9.1874	8.9069	8.2527	8.2761	8.5812	9.5118	7.9484
CCL2	9.7432	9.7977	9.0901	10.0182	9.4325	9.9513	10.2574	9.2691	9.8857	8.4471	9.8074	10.0835	9.7748
