GeneSymbol	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
UBB	3.4594	5.0444	5.3923	4.3219	4.9542	4.8580	5.1699	4.1699	5.0444	5.5546	4.7549	4.5236	6.0444	5.2479	4.3219	4.9542	4.5850	3.4594	4.7549
ATP5F1A	7.7549	8.0928	9.1111	7.8642	6.5850	7.5622	9.5411	8.1997	7.6724	7.7211	8.0168	8.8765	7.3038	8.2240	8.3923	8.0498	7.6724	7.3309	8.0768
PRKACA	4.1699	3.1699	2.3219	4.1699	2.3219	4.5850	3.1699	3.7004	4.5850	3.1699	3.4594	4.3923	5.0444	3.9069	2.8074	4.5850	4.1699	4.8580	2.8074
PRKACB	4.0875	4.9069	4.6439	3.4594	3.8074	4.0000	4.5850	4.5236	3.0000	4.4594	3.9069	5.0000	4.0000	4.4594	4.5236	4.1699	4.2479	4.8580	4.1699
PSMD14	7.1799	7.2192	8.5430	6.7944	7.7279	8.2143	8.0498	NA	7.7814	8.2192	6.7549	8.2715	5.4263	7.7616	7.2192	7.1997	8.3619	6.4757	6.9887
UQCRC2	7.0334	6.9658	7.2574	6.4429	7.9484	6.8948	6.6724	6.6147	7.3663	7.5925	5.9307	7.5314	8.1799	6.6724	7.1997	4.5850	5.3923	7.2668	7.1293
CDC42	4.8580	5.2095	4.4594	3.0000	4.8074	3.0000	4.1699	4.8580	4.0875	4.9542	2.3219	4.0000	4.4594	4.8580	3.1699	5.0444	3.3219	3.8074	4.9069
NDUFS4	5.9307	5.5236	6.7682	6.2479	5.5850	5.5850	5.6147	7.1396	5.7549	5.1699	6.0444	5.7549	6.0661	5.3219	5.7004	6.6294	6.2668	6.9658	5.4919
SDHB	8.9039	8.9944	9.8948	8.8265	8.9218	8.9944	8.8361	8.2143	9.4242	9.8642	8.9307	8.3837	9.3772	9.2644	8.4179	8.9715	7.1898	8.6618	9.0389
NDUFB5	6.1293	5.7279	6.3038	5.2854	6.0875	6.9069	6.1293	6.2095	5.8074	5.6724	6.5236	6.7549	5.9542	5.8074	6.1497	7.2095	6.2288	6.7415	6.3923
NDUFV1	6.2288	8.0980	8.4094	8.2574	8.1447	7.8329	8.7549	7.5078	7.1293	7.8765	8.0498	7.7616	8.5925	8.6366	7.3487	8.1997	6.7415	7.2854	7.4094
SNAP25	8.2808	7.3750	8.2761	7.6935	7.8826	7.3129	8.5078	7.1497	6.6147	7.4009	8.7682	8.3038	8.2900	9.0307	9.1033	9.5546	8.4009	9.2923	8.5118
PDHB	6.2668	7.6724	7.6221	6.8948	7.3837	7.4838	7.3663	6.8948	6.8329	7.2574	6.7415	6.9425	7.0000	7.2574	6.4919	6.9069	7.2479	7.4009	7.1497
