sample	state	study
studyC_case01	case	studyC
studyC_case02	case	studyC
studyC_case03	case	studyC
studyC_case04	case	studyC
studyC_case05	case	studyC
studyC_case06	case	studyC
studyC_case07	case	studyC
studyC_case08	case	studyC
studyC_case09	case	studyC
studyC_case10	case	studyC
studyC_ctrl01	control	studyC
studyC_ctrl02	control	studyC
studyC_ctrl03	control	studyC
studyC_ctrl04	control	studyC
studyC_ctrl05	control	studyC
studyC_ctrl06	control	studyC
studyC_ctrl07	control	studyC
studyC_ctrl08	control	studyC
studyC_ctrl09	control	studyC
