gene	direction
ATP1A1	up
ATR	up
BRCA2	up
CCND1	up
CDKN1A	up
KAT2B	up
NFKBIA	up
RAD51	up
RELA	up
SYNTH0011	up
SYNTH0025	up
SYNTH0041	up
SYNTH0045	up
SYNTH0047	up
SYNTH0067	up
SYNTH0088	up
SYNTH0103	up
SYNTH0107	up
SYNTH0136	up
SYNTH0146	up
SYNTH0156	up
SYNTH0185	up
SYNTH0208	up
SYNTH0238	up
SYNTH0267	up
SYNTH0281	up
SYNTH0282	up
SYNTH0304	up
SYNTH0334	up
SYNTH0343	up
SYNTH0378	up
SYNTH0403	up
SYNTH0405	up
SYNTH0438	up
SYNTH0443	up
SYNTH0444	up
SYNTH0451	up
SYNTH0474	up
SYNTH0486	up
SYNTH0497	up
E2F1	down
ERCC1	down
MKI67	down
SNAP25	down
SYNTH0007	down
SYNTH0012	down
SYNTH0035	down
SYNTH0055	down
SYNTH0083	down
SYNTH0109	down
SYNTH0129	down
SYNTH0142	down
SYNTH0144	down
SYNTH0158	down
SYNTH0160	down
SYNTH0161	down
SYNTH0201	down
SYNTH0266	down
SYNTH0269	down
SYNTH0295	down
SYNTH0314	down
SYNTH0326	down
SYNTH0336	down
SYNTH0348	down
SYNTH0365	down
SYNTH0387	down
SYNTH0389	down
SYNTH0391	down
SYNTH0422	down
SYNTH0423	down
SYNTH0431	down
SYNTH0432	down
SYNTH0433	down
SYNTH0440	down
SYNTH0448	down
SYNTH0453	down
SYNTH0460	down
SYNTH0463	down
SYNTH0473	down
TNF	down
