gene	degree	rank	tied_with
ATP5F1A	30	1	1
UBB	28	2	1
UQCRC2	26	3	1
SDHA	25	4	1
PSMD14	24	5	1
SDHB	23	6	1
CS	22	7	4
NDUFS4	22	7	4
PRKACA	22	7	4
PRKACB	22	7	4
CDC42	21	11	4
COX4I1	21	11	4
NDUFV1	21	11	4
PDHB	21	11	4
ACO2	19	15	4
NDUFB5	19	15	4
SNAP25	19	15	4
VDAC1	19	15	4
NDUFA10	17	19	2
PSMA3	17	19	2
ATP5PD	16	21	6
EIF2S1	16	21	6
GRB2	16	21	6
NDUFS5	16	21	6
RAD23B	16	21	6
SNCA	16	21	6
DLD	15	27	6
NDUFA4	15	27	6
NDUFB4	15	27	6
PMPCB	15	27	6
PSMA5	15	27	6
PSMC2	15	27	6
COX6C	14	33	3
PSMA1	14	33	3
PSMD1	14	33	3
APP	13	36	9
ATP5MG	13	36	9
CCT2	13	36	9
KRAS	13	36	9
NRXN1	13	36	9
NSF	13	36	9
PSMA4	13	36	9
RAB11A	13	36	9
SKP1	13	36	9
ATP5ME	12	45	7
NDUFC1	12	45	7
PPP2R1A	12	45	7
PSMD13	12	45	7
RAB1A	12	45	7
WASF1	12	45	7
WASL	12	45	7
ACTR2	11	52	13
GABARAPL1	11	52	13
GNB1	11	52	13
GPI	11	52	13
MRPL3	11	52	13
NDUFB2	11	52	13
PDHA1	11	52	13
PSMB1	11	52	13
PSMB2	11	52	13
RAB6A	11	52	13
RAD23A	11	52	13
STXBP1	11	52	13
SYT1	11	52	13
ACTG1	10	65	11
CLTC	10	65	11
ETFA	10	65	11
GNB5	10	65	11
NEFL	10	65	11
PKM	10	65	11
PLCB1	10	65	11
RPL15	10	65	11
SUCLA2	10	65	11
SYP	10	65	11
TBP	10	65	11
EIF3M	9	76	11
ERCC3	9	76	11
GPHN	9	76	11
MAPK9	9	76	11
NAPA	9	76	11
PDHX	9	76	11
PPP2R2B	9	76	11
RAB5A	9	76	11
SNU13	9	76	11
UBE2V2	9	76	11
VPS39	9	76	11
ATP6V1B2	8	87	15
ATP6V1E1	8	87	15
CCNH	8	87	15
CCT6A	8	87	15
DCTN2	8	87	15
DYNLL1	8	87	15
HOMER1	8	87	15
KLC1	8	87	15
MSH2	8	87	15
PPP3CB	8	87	15
RASA1	8	87	15
STX12	8	87	15
TOMM20	8	87	15
UBQLN1	8	87	15
YWHAZ	8	87	15
ACTR3	7	102	14
CFL1	7	102	14
DAP3	7	102	14
DLG3	7	102	14
DNM1	7	102	14
ENO2	7	102	14
MNAT1	7	102	14
PIK3CB	7	102	14
PPP3CA	7	102	14
RIMS1	7	102	14
SYN2	7	102	14
VDAC2	7	102	14
YWHAB	7	102	14
YWHAH	7	102	14
ABCE1	6	116	17
ACAD9	6	116	17
ARHGEF9	6	116	17
CAPZA2	6	116	17
CUL2	6	116	17
CYFIP2	6	116	17
ELOC	6	116	17
GDI1	6	116	17
HPRT1	6	116	17
NCKAP1	6	116	17
