stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000296577	9606.ENSP00000368927	ABCE1	EIF1AX	9606	0.941	0	0	0	0.26	0.914	0	0.158
9606.ENSP00000232905	9606.ENSP00000296577	EIF1B	ABCE1	9606	0.715	0	0	0	0.107	0.531	0	0.373
9606.ENSP00000256383	9606.ENSP00000296577	EIF2S1	ABCE1	9606	0.977	0	0	0	0.641	0.815	0	0.69
9606.ENSP00000296577	9606.ENSP00000436049	ABCE1	EIF3M	9606	0.971	0	0	0	0.724	0.883	0	0.196
9606.ENSP00000296577	9606.ENSP00000386541	ABCE1	PSMD14	9606	0.793	0	0	0	0.496	0.483	0	0.269
9606.ENSP00000296577	9606.ENSP00000309334	ABCE1	RPL15	9606	0.855	0	0	0	0.305	0.8	0	0
9606.ENSP00000295851	9606.ENSP00000497733	ABI2	CDC42	9606	0.762	0	0	0	0.043	0.191	0.4	0.548
9606.ENSP00000295851	9606.ENSP00000479719	ABI2	CYFIP2	9606	0.999	0	0	0	0.067	0.741	0.8	0.998
9606.ENSP00000295851	9606.ENSP00000354251	ABI2	NCKAP1	9606	0.999	0	0	0	0.11	0.989	0.9	0.998
9606.ENSP00000295851	9606.ENSP00000376367	ABI2	WASF1	9606	0.999	0	0	0	0.064	0.99	0.9	0.998
9606.ENSP00000223023	9606.ENSP00000295851	WASL	ABI2	9606	0.949	0	0	0	0.042	0.492	0.4	0.848
9606.ENSP00000312618	9606.ENSP00000452762	ACAD9	ETFA	9606	0.865	0.07	0.012	0	0.38	0.472	0.233	0.513
9606.ENSP00000252711	9606.ENSP00000312618	NDUFA10	ACAD9	9606	0.744	0	0	0	0.138	0	0.5	0.454
9606.ENSP00000259037	9606.ENSP00000312618	NDUFB5	ACAD9	9606	0.785	0	0	0	0.107	0.47	0.5	0.198
9606.ENSP00000296684	9606.ENSP00000312618	NDUFS4	ACAD9	9606	0.716	0	0	0	0.057	0.088	0.5	0.418
9606.ENSP00000312618	9606.ENSP00000362058	ACAD9	NDUFS5	9606	0.995	0	0	0	0.088	0.994	0	0.252
9606.ENSP00000312618	9606.ENSP00000497587	ACAD9	NDUFV1	9606	0.833	0	0	0	0.275	0.088	0.5	0.555
9606.ENSP00000357873	9606.ENSP00000452762	ACADSB	ETFA	9606	0.846	0.07	0.031	0.201	0.378	0.445	0.233	0.366
9606.ENSP00000216254	9606.ENSP00000381736	ACO2	ATP5F1A	9606	0.884	0	0	0	0.448	0.173	0.4	0.626
9606.ENSP00000216254	9606.ENSP00000342056	ACO2	CS	9606	0.999	0.115	0	0	0.827	0.377	0.979	0.904
9606.ENSP00000216254	9606.ENSP00000357320	ACO2	DAP3	9606	0.867	0	0	0	0.147	0.845	0	0.08
9606.ENSP00000205402	9606.ENSP00000216254	DLD	ACO2	9606	0.751	0	0	0	0.243	0.095	0	0.666
9606.ENSP00000216254	9606.ENSP00000245206	ACO2	GOT2	9606	0.753	0	0	0	0.26	0.143	0	0.641
9606.ENSP00000216254	9606.ENSP00000405573	ACO2	GPI	9606	0.805	0.06	0	0	0.302	0.194	0	0.675
9606.ENSP00000216254	9606.ENSP00000310623	ACO2	ISCU	9606	0.925	0.054	0	0	0.049	0	0	0.923
9606.ENSP00000216254	9606.ENSP00000394560	ACO2	MAPK9	9606	0.753	0	0	0	0.071	0.743	0	0.051
9606.ENSP00000216254	9606.ENSP00000264995	ACO2	MRPL3	9606	0.881	0	0	0	0.105	0.845	0	0.211
9606.ENSP00000216254	9606.ENSP00000252711	ACO2	NDUFA10	9606	0.747	0	0	0	0.452	0.096	0	0.531
9606.ENSP00000216254	9606.ENSP00000497587	ACO2	NDUFV1	9606	0.944	0	0	0	0.889	0	0	0.521
9606.ENSP00000216254	9606.ENSP00000363205	ACO2	NFS1	9606	0.89	0	0	0	0.067	0	0	0.887
9606.ENSP00000216254	9606.ENSP00000387219	ACO2	NFU1	9606	0.823	0	0	0	0.245	0.187	0	0.735
9606.ENSP00000216254	9606.ENSP00000369134	ACO2	PDHA1	9606	0.762	0	0	0	0.264	0.14	0	0.655
9606.ENSP00000216254	9606.ENSP00000264932	ACO2	SDHA	9606	0.975	0.098	0	0	0.86	0.104	0	0.807
9606.ENSP00000216254	9606.ENSP00000364649	ACO2	SDHB	9606	0.94	0.081	0	0	0.708	0.136	0	0.775
9606.ENSP00000216254	9606.ENSP00000494360	ACO2	SUCLA2	9606	0.862	0.091	0	0	0.131	0.125	0.394	0.723
9606.ENSP00000216254	9606.ENSP00000268379	ACO2	UQCRC2	9606	0.879	0	0	0	0.72	0.128	0	0.543
9606.ENSP00000216254	9606.ENSP00000378487	ACO2	VDAC1	9606	0.83	0	0	0	0.277	0	0.5	0.567
9606.ENSP00000339787	9606.ENSP00000350012	ACSL4	ACSL3	9606	0.772	0	0	0.055	0.063	0.42	0.6	0.062
9606.ENSP00000350012	9606.ENSP00000493153	ACSL3	PPT1	9606	0.841	0	0	0	0.055	0	0.8	0.228
9606.ENSP00000339787	9606.ENSP00000493153	ACSL4	PPT1	9606	0.845	0	0	0	0.055	0	0.8	0.245
9606.ENSP00000367220	9606.ENSP00000458162	ACTR2	ACTG1	9606	0.949	0	0	0	0.131	0.402	0.9	0.15
9606.ENSP00000263238	9606.ENSP00000458162	ACTR3	ACTG1	9606	0.936	0	0	0	0.114	0.298	0.9	0.103
9606.ENSP00000262942	9606.ENSP00000458162	ARPC1A	ACTG1	9606	0.94	0	0	0	0.107	0.25	0.9	0.215
9606.ENSP00000299300	9606.ENSP00000458162	CCT2	ACTG1	9606	0.876	0	0	0	0.097	0.84	0	0.208
9606.ENSP00000275603	9606.ENSP00000458162	CCT6A	ACTG1	9606	0.934	0	0	0	0.11	0.919	0	0.153
9606.ENSP00000458162	9606.ENSP00000497733	ACTG1	CDC42	9606	0.957	0	0	0	0.118	0.07	0.9	0.537
9606.ENSP00000432660	9606.ENSP00000458162	CFL1	ACTG1	9606	0.998	0	0	0	0.521	0.84	0.9	0.79
9606.ENSP00000246069	9606.ENSP00000458162	DSTN	ACTG1	9606	0.911	0	0	0	0.147	0.866	0	0.286
9606.ENSP00000376367	9606.ENSP00000458162	WASF1	ACTG1	9606	0.934	0	0	0	0	0.214	0.9	0.229
9606.ENSP00000223023	9606.ENSP00000458162	WASL	ACTG1	9606	0.978	0	0	0	0.046	0.705	0.9	0.32
9606.ENSP00000354947	9606.ENSP00000358921	CAPZA2	ACTR1A	9606	0.969	0	0	0	0.112	0.825	0.5	0.649
9606.ENSP00000358921	9606.ENSP00000408910	ACTR1A	DCTN2	9606	0.999	0	0	0	0.409	0.994	0.9	0.761
9606.ENSP00000358921	9606.ENSP00000376297	ACTR1A	DYNLL1	9606	0.881	0	0	0	0.087	0.257	0.8	0.228
9606.ENSP00000358921	9606.ENSP00000380378	ACTR1A	PAFAH1B1	9606	0.875	0	0	0	0.172	0.065	0.8	0.29
9606.ENSP00000263238	9606.ENSP00000367220	ACTR3	ACTR2	9606	0.999	0	0	0.079	0.855	0.997	0.9	0.984
