queryItem	queryIndex	stringId	ncbiTaxonId	taxonName	preferredName	annotation
ACTG1	0	9606.ENSP00000458162	9606	Homo sapiens	ACTG1	Actin, cytoplasmic 2, N-terminally processed; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells.
PSMA5	1	9606.ENSP00000271308	9606	Homo sapiens	PSMA5	Proteasome subunit alpha type-5; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP- dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pr [...] 
PPP1R2	2	9606.ENSP00000484580	9606	Homo sapiens	PPP1R2	Protein phosphatase inhibitor 2; Inhibitor of protein-phosphatase 1.
RPH3A	3	9606.ENSP00000374036	9606	Homo sapiens	RPH3A	Rabphilin-3A; Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP- dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Plays also a role in the exocytosis of arginine vasopressin hormone (By similarity).
NDUFB5	4	9606.ENSP00000259037	9606	Homo sapiens	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
RNMT	5	9606.ENSP00000466111	9606	Homo sapiens	RNMT	mRNA cap guanine-N7 methyltransferase; Catalytic subunit of the mRNA-capping methyltransferase RNMT:RAMAC complex that methylates the N7 position of the added guanosine to the 5'-cap structure of mRNAs. Binds RNA containing 5'-terminal GpppC.
SUB1	6	9606.ENSP00000265073	9606	Homo sapiens	SUB1	Activated RNA polymerase II transcriptional coactivator p15; General coactivator that functions cooperatively with TAFs and mediates functional interactions between upstream activators and the general transcriptional machinery. May be involved in stabilizing the multiprotein transcription complex. Binds single-stranded DNA. Also binds, in vitro, non-specifically to double-stranded DNA (ds DNA).
ATP5F1A	7	9606.ENSP00000381736	9606	Homo sapiens	ATP5F1A	ATP synthase subunit alpha, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the  [...] 
BEX3	8	9606.ENSP00000361728	9606	Homo sapiens	BEX3	Protein BEX3; May be a signaling adapter molecule involved in p75NTR- mediated apoptosis induced by NGF. Plays a role in zinc-triggered neuronal death (By similarity). May play an important role in the pathogenesis of neurogenetic diseases.
TARBP1	9	9606.ENSP00000040877	9606	Homo sapiens	TARBP1	Probable methyltransferase TARBP1; Probable S-adenosyl-L-methionine-dependent methyltransferase which methylates RNA molecules such as tRNAs.
NIPSNAP1	10	9606.ENSP00000216121	9606	Homo sapiens	NIPSNAP1	Nipsnap homolog 1.
PSMB2	11	9606.ENSP00000362334	9606	Homo sapiens	PSMB2	Proteasome subunit beta type-2; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP- dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pro [...] 
ATP6V1E1	12	9606.ENSP00000253413	9606	Homo sapiens	ATP6V1E1	V-type proton ATPase subunit E 1; Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells.
SPCS1	13	9606.ENSP00000233025	9606	Homo sapiens	SPCS1	Signal peptidase complex subunit 1; Component of the microsomal signal peptidase complex which removes signal peptides from nascent proteins as they are translocated into the lumen of the endoplasmic reticulum. Belongs to the SPCS1 family.
NRXN3	14	9606.ENSP00000489551	9606	Homo sapiens	NRXN3	Neurexin-3; Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling.
ATP5PD	15	9606.ENSP00000301587	9606	Homo sapiens	ATP5PD	ATP synthase subunit d, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the cent [...] 
EBNA1BP2	16	9606.ENSP00000407323	9606	Homo sapiens	EBNA1BP2	Probable rRNA-processing protein EBP2; Required for the processing of the 27S pre-rRNA.
DNM1L	17	9606.ENSP00000449089	9606	Homo sapiens	DNM1L	Dynamin-1-like protein; Functions in mitochondrial and peroxisomal division. Mediates membrane fission through oligomerization into membrane-associated tubular structures that wrap around the scission site to constrict and sever the mitochondrial membrane through a GTP hydrolysis-dependent mechanism. The specific recruitment at scission sites is mediated by membrane receptors like MFF, MIEF1 and MIEF2 for mitochondrial membranes. While the recruitment by the membrane receptors is GTP-dependent, the following hydrolysis of GTP induces the dissociation from the receptors and allows DNM1L [...] 
KIFBP	18	9606.ENSP00000354848	9606	Homo sapiens	KIFBP	KIF-binding protein; Required for organization of axonal microtubules, and axonal outgrowth and maintenance during peripheral and central nervous system development; Belongs to the KIF-binding protein family.
CDC123	19	9606.ENSP00000281141	9606	Homo sapiens	CDC123	Cell division cycle protein 123 homolog; Required for S phase entry of the cell cycle.
PMS2	20	9606.ENSP00000265849	9606	Homo sapiens	PMS2	Mismatch repair endonuclease PMS2; Component of the post-replicative DNA mismatch repair system (MMR). Heterodimerizes with MLH1 to form MutL alpha. DNA repair is initiated by MutS alpha (MSH2-MSH6) or MutS beta (MSH2-MSH3) binding to a dsDNA mismatch, then MutL alpha is recruited to the heteroduplex. Assembly of the MutL-MutS-heteroduplex ternary complex in presence of RFC and PCNA is sufficient to activate endonuclease activity of PMS2. It introduces single-strand breaks near the mismatch and thus generates new entry points for the exonuclease EXO1 to degrade the strand containing th [...] 
RAB11A	21	9606.ENSP00000261890	9606	Homo sapiens	RAB11A	Ras-related protein Rab-11A; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. The small Rab GTPase RAB11A regulates endocytic recycling. Acts as a major regulator of membrane delivery during cytokinesis. Together with MYO5B and RAB8A participates in epithelial c [...] 
RGS4	22	9606.ENSP00000397181	9606	Homo sapiens	RGS4	Regulator of G-protein signaling 4; Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits thereby driving them into their inactive GDP-bound form. Activity on G(z)-alpha is inhibited by phosphorylation of the G-protein. Activity on G(z)-alpha and G(i)- alpha-1 is inhibited by palmitoylation of the G-protein.
PSMD14	23	9606.ENSP00000386541	9606	Homo sapiens	PSMD14	26S proteasome non-ATPase regulatory subunit 14; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair. The PSMD14 subunit is a metalloprotease that specifically cle [...] 
ATXN10	24	9606.ENSP00000252934	9606	Homo sapiens	ATXN10	Ataxin-10; Necessary for the survival of cerebellar neurons. Induces neuritogenesis by activating the Ras-MAP kinase pathway. May play a role in the maintenance of a critical intracellular glycosylation level and homeostasis.
G3BP2	25	9606.ENSP00000352738	9606	Homo sapiens	G3BP2	Ras GTPase-activating protein-binding protein 2; Scaffold protein that plays an essential role in cytoplasmic stress granule formation which acts as a platform for antiviral signaling.
UQCRC2	26	9606.ENSP00000268379	9606	Homo sapiens	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial; Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradie [...] 
LETMD1	27	9606.ENSP00000389903	9606	Homo sapiens	LETMD1	LETM1 domain-containing protein 1; Involved in tumorigenesis and may function as a negative regulator of the p53/TP53.
LRPPRC	28	9606.ENSP00000260665	9606	Homo sapiens	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial; May play a role in RNA metabolism in both nuclei and mitochondria. In the nucleus binds to HNRPA1-associated poly(A) mRNAs and is part of nmRNP complexes at late stages of mRNA maturation which are possibly associated with nuclear mRNA export. May bind mature mRNA in the nucleus outer membrane. In mitochondria binds to poly(A) mRNA. Plays a role in translation or stability of mitochondrially encoded cytochrome c oxidase (COX) subunits. May be involved in transcription regulation. Cooperates with PPARGC1A to regulate certain mito [...] 
IDI1	29	9606.ENSP00000370748	9606	Homo sapiens	IDI1	Isopentenyl-diphosphate Delta-isomerase 1; Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP).
BABAM2	30	9606.ENSP00000343412	9606	Homo sapiens	BABAM2	BRISC and BRCA1-A complex member 2; Component of the BRCA1-A complex, a complex that specifically recognizes 'Lys-63'-linked ubiquitinated histones H2A and H2AX at DNA lesions sites, leading to target the BRCA1-BARD1 heterodimer to sites of DNA damage at double-strand breaks (DSBs). The BRCA1-A complex also possesses deubiquitinase activity that specifically removes 'Lys-63'- linked ubiquitin on histones H2A and H2AX. In the BRCA1-A complex, it acts as an adapter that bridges the interaction between BABAM1/NBA1 and the rest of the complex, thereby being required for the complex integri [...] 
ACADSB	31	9606.ENSP00000357873	9606	Homo sapiens	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial; Has greatest activity toward short branched chain acyl-CoA derivative such as (s)-2-methylbutyryl-CoA, isobutyryl-CoA, and 2- methylhexanoyl-CoA as well as toward short straight chain acyl-CoAs such as butyryl-CoA and hexanoyl-CoA. Can use valproyl-CoA as substrate and may play a role in controlling the metabolic flux of valproic acid in the development of toxicity of this agent.
YWHAZ	32	9606.ENSP00000379287	9606	Homo sapiens	YWHAZ	14-3-3 protein zeta/delta; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner. Induces ARHGEF7 activity on RAC1 as well as lamellipodia and membrane ruffle formation. In neurons, regulates spine maturation through the modulation of ARHGEF7 activity (By similarity). Belongs to the 14-3-3 family.
MAGED1	33	9606.ENSP00000364847	9606	Homo sapiens	MAGED1	Melanoma-associated antigen D1; Involved in the apoptotic response after nerve growth factor (NGF) binding in neuronal cells. Inhibits cell cycle progression, and facilitates NGFR-mediated apoptosis. May act as a regulator of the function of DLX family members. May enhance ubiquitin ligase activity of RING-type zinc finger-containing E3 ubiquitin-protein ligases. Proposed to act through recruitment and/or stabilization of the Ubl- conjugating enzyme (E2) at the E3:substrate complex. Plays a role in the circadian rhythm regulation. May act as RORA co-regulator, modulating the expression [...] 
