gene	degree	rank	tied_with
HDAC1	17	1	1
CREBBP	11	2	2
NFKB1	11	2	2
ITGB1	10	4	1
IKBKB	8	5	3
ITGB5	8	5	3
SIRT1	8	5	3
ITGB8	7	8	2
KAT2B	7	8	2
FYN	6	10	5
PAK2	6	10	5
SP1	6	10	5
YAP1	6	10	5
YBX1	6	10	5
ATM	5	15	5
DNAJB1	5	15	5
FLNB	5	15	5
GSN	5	15	5
YY1	5	15	5
EPS8	4	20	12
EZR	4	20	12
HNRNPA2B1	4	20	12
HNRNPF	4	20	12
HNRNPM	4	20	12
INPPL1	4	20	12
LAMC1	4	20	12
NFKBIA	4	20	12
SPP1	4	20	12
STAT5B	4	20	12
TAB2	4	20	12
XPO1	4	20	12
CBFB	3	32	19
COL6A1	3	32	19
CRYAB	3	32	19
CTBP2	3	32	19
FKBP5	3	32	19
HNRNPH3	3	32	19
MAP3K3	3	32	19
MECOM	3	32	19
MPDZ	3	32	19
MYLK	3	32	19
NXF1	3	32	19
PDGFRB	3	32	19
SMARCC1	3	32	19
SRSF4	3	32	19
STAG2	3	32	19
TBL1X	3	32	19
TCF12	3	32	19
TCF3	3	32	19
YES1	3	32	19
ACACB	2	51	27
ARHGEF6	2	51	27
AXL	2	51	27
BAZ1B	2	51	27
BCL6	2	51	27
CFLAR	2	51	27
DOCK1	2	51	27
GMPR	2	51	27
KTN1	2	51	27
MAP3K2	2	51	27
MAPRE1	2	51	27
MSN	2	51	27
MUTYH	2	51	27
NFIB	2	51	27
NIPBL	2	51	27
PALLD	2	51	27
PPP1CC	2	51	27
SART1	2	51	27
SORBS1	2	51	27
SP100	2	51	27
SPART	2	51	27
STAG1	2	51	27
TGFB2	2	51	27
TJP2	2	51	27
UPF2	2	51	27
WASF2	2	51	27
ZRSR2	2	51	27
ABCA6	1	78	69
ABCA9	1	78	69
ACSL1	1	78	69
ANP32B	1	78	69
ATL3	1	78	69
BARD1	1	78	69
BAZ1A	1	78	69
BMPR1A	1	78	69
CALCOCO2	1	78	69
CALD1	1	78	69
CLIP2	1	78	69
CNNM3	1	78	69
COBL	1	78	69
DDB2	1	78	69
DHX16	1	78	69
DNAJA1	1	78	69
DPF2	1	78	69
DTNA	1	78	69
DVL2	1	78	69
EEF1D	1	78	69
ENTPD1	1	78	69
FAT1	1	78	69
FLT1	1	78	69
G3BP1	1	78	69
GFAP	1	78	69
GNA12	1	78	69
GNA13	1	78	69
HDGF	1	78	69
IFRD1	1	78	69
INPP5D	1	78	69
INVS	1	78	69
IPO8	1	78	69
ITPRID2	1	78	69
KAT6B	1	78	69
KIF5B	1	78	69
KLF6	1	78	69
LIFR	1	78	69
LIMK2	1	78	69
MACF1	1	78	69
MAX	1	78	69
MCL1	1	78	69
MXI1	1	78	69
MYH3	1	78	69
MYOT	1	78	69
NFIA	1	78	69
OPHN1	1	78	69
PAPOLA	1	78	69
PDE9A	1	78	69
PHLPP1	1	78	69
PTP4A2	1	78	69
RAB31	1	78	69
RALBP1	1	78	69
RALGDS	1	78	69
RHOQ	1	78	69
SMG5	1	78	69
SNAP23	1	78	69
SPEN	1	78	69
STX2	1	78	69
SUN2	1	78	69
SYNE2	1	78	69
SYNM	1	78	69
TBC1D2B	1	78	69
TLE4	1	78	69
TMOD3	1	78	69
TNIP1	1	78	69
TNS2	1	78	69
TRAF3IP2	1	78	69
ZBTB20	1	78	69
ZHX2	1	78	69
