gene,condition,well_replicate,Cp,Cp_flag,Cp_ACTB,Cp_ACTB_flag,delta_Ct
HDAC1,Mature neuron,1,31.89,detected,26.52,,5.370
HDAC1,Mature neuron,2,31.69,detected,22.54,,9.150
HDAC1,H2O2-induced AD model,1,32.79,detected,29.81,,2.980
HDAC1,H2O2-induced AD model,2,30.70,detected,24.52,,6.180
HDAC1,H2O2-induced AD model + Vorinostat,1,32.00,detected,23.54,,8.460
HDAC1,H2O2-induced AD model + Vorinostat,2,31.89,detected,20.89,,11.000
CREBBP,Mature neuron,1,21.18,detected,26.52,,-5.340
CREBBP,Mature neuron,2,21.94,detected,22.54,,-0.600
CREBBP,H2O2-induced AD model,1,21.74,detected,29.81,,-8.070
CREBBP,H2O2-induced AD model,2,22.17,detected,24.52,,-2.350
CREBBP,H2O2-induced AD model + Vorinostat,1,21.48,detected,23.54,,-2.060
CREBBP,H2O2-induced AD model + Vorinostat,2,22.24,detected,20.89,,1.350
NFKB1,Mature neuron,1,28.61,detected,26.52,,2.090
NFKB1,Mature neuron,2,28.73,detected,22.54,,6.190
NFKB1,H2O2-induced AD model,1,28.85,detected,29.81,,-0.960
NFKB1,H2O2-induced AD model,2,28.96,detected,24.52,,4.440
NFKB1,H2O2-induced AD model + Vorinostat,1,28.46,detected,23.54,,4.920
NFKB1,H2O2-induced AD model + Vorinostat,2,28.70,detected,20.89,,7.810
KAT2B,Mature neuron,1,25.75,detected,26.52,,-0.770
KAT2B,Mature neuron,2,26.00,detected,22.54,,3.460
KAT2B,H2O2-induced AD model,1,26.11,detected,29.81,,-3.700
KAT2B,H2O2-induced AD model,2,26.19,detected,24.52,,1.670
KAT2B,H2O2-induced AD model + Vorinostat,1,25.48,detected,23.54,,1.940
KAT2B,H2O2-induced AD model + Vorinostat,2,26.61,detected,20.89,,5.720
SP1,Mature neuron,1,29.81,detected,26.52,,3.290
SP1,Mature neuron,2,32.42,detected,22.54,,9.880
SP1,H2O2-induced AD model,1,30.80,detected,29.81,,0.990
SP1,H2O2-induced AD model,2,31.20,detected,24.52,,6.680
SP1,H2O2-induced AD model + Vorinostat,1,31.21,detected,23.54,,7.670
SP1,H2O2-induced AD model + Vorinostat,2,31.45,detected,20.89,,10.560
UBB,Mature neuron,1,23.45,detected,26.52,,-3.070
UBB,Mature neuron,2,24.17,detected,22.54,,1.630
UBB,H2O2-induced AD model,1,24.74,detected,29.81,,-5.070
UBB,H2O2-induced AD model,2,26.32,detected,24.52,,1.800
UBB,H2O2-induced AD model + Vorinostat,1,23.62,detected,23.54,,0.080
UBB,H2O2-induced AD model + Vorinostat,2,24.63,detected,20.89,,3.740
ATP5F1A,Mature neuron,1,25.87,detected,26.52,,-0.650
ATP5F1A,Mature neuron,2,26.36,detected,22.54,,3.820
ATP5F1A,H2O2-induced AD model,1,28.17,detected,29.81,,-1.640
ATP5F1A,H2O2-induced AD model,2,28.91,detected,24.52,,4.390
ATP5F1A,H2O2-induced AD model + Vorinostat,1,26.21,detected,23.54,,2.670
ATP5F1A,H2O2-induced AD model + Vorinostat,2,26.66,detected,20.89,,5.770
PRKACA,Mature neuron,1,24.44,detected,26.52,,-2.080
PRKACA,Mature neuron,2,24.87,detected,22.54,,2.330
PRKACA,H2O2-induced AD model,1,24.57,detected,29.81,,-5.240
PRKACA,H2O2-induced AD model,2,24.97,detected,24.52,,0.450
