"","symbol","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset","chr","start","end","biotype","description"
"1","VIP",-0.980534678097497,0.011488049587665,11.408846177734,0.179591758531521,0.0279692877865699,-9.14828755124835,0,0,-0.798325757173594,1,"6",152750797,152759765,"protein_coding","vasoactive intestinal peptide"
"2","SLC30A3",-0.933112196726439,0.0222966581829238,20.8327082793679,0.00760535372974308,0.104828112179462,-6.24904969175402,4.12957446016549e-10,2.25428783111346e-08,-0.793272647918571,1,"2",27253684,27275817,"protein_coding","solute carrier family 30 member 3"
"3","NPTXR",-0.906377672073601,0.0214229209914656,20.0917626904389,0.00999440171097444,0.0986588240273711,-6.19255475619171,5.91967808105665e-10,3.0548654518295e-08,-0.605023973787914,1,"22",38818452,38844028,"protein_coding","neuronal pentraxin receptor"
"4","KCNF1",-0.903112805868772,0.0475841543560269,45.2186946170721,3.34489676427998e-07,0.309518792473017,-4.1400999187017,3.47154576769704e-05,0.00040503485700641,-0.438620390519368,1,"2",10911934,10914225,"protein_coding","potassium voltage-gated channel modifier subfamily F member 1"
"5","USP11",-0.881706730316092,0.0199893431038799,18.8250743166185,0.0158236683167535,0.0878166096593778,-6.23626978361179,4.48127979169044e-10,2.41524874692525e-08,-0.429550731560514,1,"X",47232866,47248328,"protein_coding","ubiquitin specific peptidase 11"
"6","GSS",-0.874668922905599,0.019131201646799,18.1357477255921,0.0202314758477986,0.0818605964408178,-6.3237191192294,2.55341747745774e-10,1.4760605839644e-08,-0.304365064946714,1,"20",34928432,34956027,"protein_coding","glutathione synthetase"
"7","OPA1",-0.868335439015638,0.0206558150959291,19.6041732559939,0.0119419594459828,0.0942897538991689,-6.04180017499656,1.5240415596196e-09,7.00043089718605e-08,-0.381664178562534,1,"3",193593144,193697811,"protein_coding","OPA1 mitochondrial dynamin like GTPase"
"8","LETMD1",-0.867301797657236,0.0165540688993766,15.8642051761018,0.0443655101824015,0.0634517481191194,-6.74089973345779,1.57409640877404e-11,1.23472122304236e-09,-0.293641927058048,1,"12",51047962,51060424,"protein_coding","LETM1 domain containing 1"
"9","PIN1",-0.855219891817586,0.012409482946006,12.3059123634633,0.138067832815002,0.0343571935635328,-7.67716633877226,1.62092561595273e-14,2.48929257394475e-12,-0.307792817725585,1,"19",9835257,9849689,"protein_coding","peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
"10","RGS4",-0.853536914793338,0.0267943214267705,25.4089836124501,0.00132483320828524,0.142840408509961,-5.21435898776097,1.8445395322253e-07,4.68355042779079e-06,-0.954189121482231,1,"1",163068775,163076802,"protein_coding","regulator of G protein signaling 4"
"11","TSPAN7",-0.851912120854889,0.0322547363498205,30.4103353808357,0.000178823205690953,0.18383774069703,-4.74349065352031,2.10066640105033e-06,3.69581011469815e-05,-0.537152352782887,1,"X",38561542,38688920,"protein_coding","tetraspanin 7"
"12","PLK2",-0.844772181050527,0.0135252124658765,13.2825110789537,0.102491914811054,0.0422521669689902,-7.26386151407843,3.76143560743003e-13,4.13320163535404e-11,-0.742275348833224,1,"5",58453982,58460139,"protein_coding","polo like kinase 2"
"13","NAP1L2",-0.839823285031199,0.0180701334804777,17.1856914673383,0.0282325353464283,0.0728009433720645,-6.24751390575345,4.17037071542836e-10,2.26202682230671e-08,-0.625812905228363,1,"X",73212299,73214851,"protein_coding","nucleosome assembly protein 1 like 2"
