"","symbol","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset","chr","start","end","biotype","description"
"1","FAM162A",-1.02720154149258,0.0378956728501519,42.6630763009683,5.71230823854485e-06,0.280458116279296,-5.27668113803694,1.31544481973833e-07,2.52067021924358e-06,-0.392864353500967,1,"3",122384161,122412334,"protein_coding","family with sequence similarity 162 member A"
"2","NRN1",-0.979327571954597,0.0321554533313932,36.2957288245533,7.48716842641655e-05,0.224865095141311,-5.46135821798848,4.72505530257905e-08,1.06140847203553e-06,-0.77933998573955,1,"6",5997999,6007605,"protein_coding","neuritin 1"
"3","ACTG1",-0.97263656229811,0.0406520825864448,46.6463878642264,1.09488633807752e-06,0.312301745584904,-4.82402101949154,1.40692580852253e-06,1.78646463556512e-05,-0.421404763122132,1,"HG1369_PATCH",165618,180052,"protein_coding","actin gamma 1"
"4","GSTA4",-0.950974178286884,0.0300571207903418,34.2988176506493,0.000164357761636252,0.20617371773775,-5.48523244806834,4.12926084436549e-08,9.59996112325413e-07,-0.442746195187481,1,"6",52977948,52995304,"protein_coding","glutathione S-transferase alpha 4"
"5","PSMA5",-0.94282784319441,0.0452353034646976,52.3167209726556,9.96940084994633e-08,0.363789248672173,-4.43295829356533,9.29488513179422e-06,8.19976449362475e-05,-0.454646881964141,1,"1",109399042,109426448,"protein_coding","proteasome 20S subunit alpha 5"
"6","PPP1R2",-0.939360435642975,0.0320586202983232,36.3721513010198,7.26365131409619e-05,0.223815238570625,-5.24638129057295,1.55115714495224e-07,2.89329311434354e-06,-0.450411527871242,1,"3",195514428,195543386,"protein_coding","protein phosphatase 1 regulatory inhibitor subunit 2"
"7","GPCPD1",-0.930789594720672,0.0270350882301211,30.313695313752,0.000761043660743001,0.171009662674456,-5.66092790634297,1.50556671574265e-08,4.11391216873055e-07,-0.510983655673386,1,"20",5544404,5611006,"protein_coding","glycerophosphocholine phosphodiesterase 1"
"8","HMGCS1",-0.921434655545019,0.0363192869405295,41.7874360766318,8.18062530792295e-06,0.269075525263245,-4.83499339931379,1.33150053316378e-06,1.70613710217819e-05,-0.509200740421883,1,"5",43287470,43313512,"protein_coding","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"9","RPH3A",-0.913221625432378,0.0464700459034336,53.3773945238121,6.33577098933376e-08,0.370240729391254,-4.23632856804555,2.27204239591217e-05,0.000169637232114947,-0.825450095662039,1,"12",112570380,112898881,"protein_coding","rabphilin 3A"
"10","CHP1",-0.9127131830213,0.0478114817424602,55.7131464720793,2.32315904345714e-08,0.391420052374693,-4.17415163590202,2.99098501199691e-05,0.000210469313218779,-0.277641288376783,1,"15",41230839,41281887,"protein_coding","calcineurin like EF-hand protein 1"
