"","symbol","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset","chr","start","end","biotype","description"
"1","FOXN3",0.983735935623504,0.0365658889074302,41.6707742955114,8.58057307031724e-06,0.269862698682872,5.14446798188991,2.68280001769483e-07,4.56426739476212e-06,0.302710652547893,1,"14",89124871,89619149,"protein_coding","forkhead box N3"
"2","CREBBP",0.954413571725603,0.0461531348496586,53.3571789393499,6.39083499859688e-08,0.372521425299371,4.44258763933888,8.88834109114001e-06,7.90742902991906e-05,0.258146724585887,1,"16",3725054,3880713,"protein_coding","CREB binding protein"
"3","HMBOX1",0.945556788535315,0.0317854795289694,35.9382409028701,8.62580655464095e-05,0.221329712858417,5.30363017754664,1.13522182321191e-07,2.22600812305485e-06,0.323507566731493,1,"8",28890395,29064764,"protein_coding","homeobox containing 1"
"4","IKBKB",0.943976710289486,0.0386238506453384,44.6171402454463,2.54927532295581e-06,0.294568651093607,4.80323123809457,1.56125405026408e-06,1.94832652535921e-05,0.396718464445865,1,"8",42271302,42332460,"protein_coding","inhibitor of nuclear factor kappa B kinase subunit beta"
"5","SAMD4A",0.921623851128503,0.0327115208956893,37.4471270410379,4.73487217548784e-05,0.231272998064123,5.0956939616004,3.47466058814305e-07,5.6715949398394e-06,0.559619454035198,1,"14",54566117,54793315,"protein_coding","sterile alpha motif domain containing 4A"
"6","RAF1",0.914310029192898,0.0502946685325704,58.890266043294,5.8739533322377e-09,0.418440097102987,4.07692299431253,4.56355979281398e-05,0.000297728055940484,0.174703051506419,1,"3",12582101,12664201,"protein_coding","Raf-1 proto-oncogene, serine/threonine kinase"
"7","PDE4DIP",0.897990711486459,0.0295000175914904,33.355916608187,0.000237294070633178,0.196412116823129,5.22830249876988,1.7107344807421e-07,3.14356798906671e-06,0.323211137216836,1,"1",148808140,149048286,"protein_coding","phosphodiesterase 4D interacting protein"
"8","NFKBIA",0.892171892715702,0.0434290504409021,50.1720501457241,2.48149258459176e-07,0.342065147666744,4.28112954977007,1.85947063273684e-05,0.000143835522473467,0.42893988307975,1,"14",35401079,35404749,"protein_coding","NFKB inhibitor alpha"
"9","ITGB5",0.868177344830314,0.0306476545223169,35.3978229239721,0.000106771978343342,0.213070904559848,4.95917948763407,7.07915389641656e-07,1.00570829156384e-05,0.49214835140039,1,"3",124761948,124901418,"protein_coding","integrin subunit beta 5"
"10","ZNF592",0.866033531499821,0.0242531781820502,27.8468493321994,0.00191000743206757,0.149445036297059,5.56096778059486,2.6828272936541e-08,6.67218513693644e-07,0.28262672487477,1,"15",84748592,84806445,"protein_coding","zinc finger protein 592"
"11","CTDSP2",0.864310309340882,0.0325168487865316,37.3503180272592,4.92150066777614e-05,0.230705983842106,4.79308871629906,1.64232953880905e-06,2.03092523486943e-05,0.362417467872743,1,"12",57819927,57846729,"protein_coding","CTD small phosphatase 2"
"12","IFT140",0.860187073728804,0.0185514235211885,21.2019278608431,0.0197286915269449,0.0930750283572615,6.31544986499772,2.69376743133876e-10,1.30291647713488e-08,0.327104438243486,1,"16",1510427,1612072,"protein_coding","intraflagellar transport 140"
"13","SRGAP1",0.858370904228399,0.0357404134658238,41.3273606502503,9.87341165303304e-06,0.264174741930224,4.54041136376934,5.61445782598646e-06,5.47396629558643e-05,0.330365908743361,1,"12",63843761,64162217,"protein_coding","SLIT-ROBO Rho GTPase activating protein 1"
"14","HDAC4",0.85754433796047,0.0371447829410471,43.0959560091653,4.78036328665655e-06,0.277686913942415,4.44946373431746,8.60849637240868e-06,7.70735164576505e-05,0.249867372755898,1,"2",239048168,239401654,"protein_coding","histone deacetylase 4"
"15","ITPKB",0.853336922015737,0.0319247523807325,36.9483149579126,5.77704283720769e-05,0.225249525147109,4.77591697425368,1.78890194413306e-06,2.17437879286884e-05,0.495478384639586,1,"1",226631690,226739323,"protein_coding","inositol-trisphosphate 3-kinase B"
"16","TRIM8",0.852269902459187,0.0304631389158561,35.1288943709345,0.000118695943376849,0.209487003703658,4.88303487805754,1.04465384143104e-06,1.39552487769582e-05,0.322711542739671,1,"10",102642503,102662789,"protein_coding","tripartite motif containing 8"
"17","MTSS2",0.846179936142574,0.0388120832793234,45.1687873460502,2.02742205535851e-06,0.297915225381864,4.29515900858353,1.74568169046818e-05,0.000136844794215539,0.507233602835472,1,"16",70661204,70686053,"protein_coding","MTSS I-BAR domain containing 2"
"18","ZCCHC14",0.836874213165191,0.0169483712526129,19.4228994511582,0.0352085854823318,0.078262236943011,6.42830096545083,1.29038113527713e-10,6.80441581108542e-09,0.257471653310555,1,"16",87406246,87493024,"protein_coding","zinc finger CCHC-type containing 14"
"19","SMG5",0.834582369123373,0.0309358828524315,35.9493313226325,8.58805034447592e-05,0.216578146685986,4.74501892156149,2.08486845965083e-06,2.47130323329879e-05,0.254769935970099,1,"1",156249224,156282825,"protein_coding","SMG5 nonsense mediated mRNA decay factor"
"20","SPACA6",0.825109659263023,0.0177165232072495,20.2699366997266,0.0268004738516541,0.0855721322802687,6.1990112219331,5.68189717498058e-10,2.50098570212534e-08,0.616465589262413,1,"19",51688346,51712387,"protein_coding","sperm acrosome associated 6"
"21","ZHX3",0.824058511673747,0.0392921808320477,45.8092666595329,1.55296262824783e-06,0.301159827762079,4.15723890095821,3.22117093733976e-05,0.000223600912311542,0.234719659922976,1,"20",41178448,41317731,"protein_coding","zinc fingers and homeoboxes 3"
"22","TRRAP",0.814383856157131,0.0447982124408458,52.867165764779,7.88101357660107e-08,0.357319850992833,3.84767882638538,0.000119242233809658,0.000651989760747193,0.158714067577448,1,"7",98877933,99050831,"protein_coding","transformation/transcription domain associated protein"
"23","LRP4",0.80861809193053,0.0318841799042076,37.1731490205821,5.28198139982732e-05,0.226478413641425,4.52851518642193,5.93996127840057e-06,5.70930951564861e-05,0.417148121263691,1,"11",46856717,46918642,"protein_coding","LDL receptor related protein 4"
"24","DIDO1",0.80712255064388,0.0382900368898521,44.8260281997959,2.33764213520105e-06,0.29010168680984,4.12474010239788,3.71153626799181e-05,0.000250988518866522,0.172851792831756,1,"20",62877738,62937952,"protein_coding","death inducer-obliterator 1"
