"","symbol","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset","chr","start","end","biotype","description"
"1","NFKB1",1.06771252433996,0.0269984640215749,24.6241078439208,0.00179961423499725,0.140079064810903,6.49807632877901,8.13535905308527e-11,5.26411242402359e-09,0.343284438170849,1,"4",102501330,102617302,"protein_coding","nuclear factor kappa B subunit 1"
"2","CD44",0.979676720014853,0.017562877658105,16.2810289435247,0.0385298675181368,0.0678444643250164,7.39239134737166,1.44106948596345e-13,1.78610632217475e-11,0.641007876624204,1,"11",35138882,35232402,"protein_coding","CD44 molecule (IN blood group)"
"3","CAPS",0.957504906167138,0.0152215255027135,14.401819771537,0.0718748705825846,0.0524721334111756,7.76089697215236,8.43769498715119e-15,1.44363864635869e-12,0.64905794756347,1,"19",5912339,5916211,"protein_coding","calcyphosine"
"4","IQGAP1",0.925810256004579,0.0249843797724787,23.245599974626,0.00306282798207732,0.123924439781303,5.85716827216612,4.70826022613835e-09,1.91737504704385e-07,0.422333369370763,1,"15",90388242,90502239,"protein_coding","IQ motif containing GTPase activating protein 1"
"5","TRIP10",0.925737584023191,0.0201231864624831,18.7543174862322,0.0162302384684174,0.0883552352530362,6.52588656245832,6.76003697464012e-11,4.45306518332043e-09,0.469472696902519,1,"19",6737925,6751530,"protein_coding","thyroid hormone receptor interactor 10"
"6","MAPKAPK2",0.914406342690437,0.00854801768636939,9.51124494262043,0.301017606827895,0.0120868312950423,9.89023301630242,0,0,0.440612134780824,1,"1",206684905,206734281,"protein_coding","MAPK activated protein kinase 2"
"7","PRKX",0.906656516332955,0.00577656425863576,7.75421065866424,0.457840524926789,0,11.9291083400791,0,0,0.551153740075459,1,"X",3604340,3713649,"protein_coding","protein kinase cAMP-dependent X-linked catalytic subunit"
"8","ELF2",0.897641121914417,0.0536152000300263,53.6862543283228,7.94142132490138e-09,0.366042064618158,3.87666947448986,0.00010589605768363,0.00103010050297017,0.169330848410808,1,"4",139028112,139177218,"protein_coding","E74 like ETS transcription factor 2"
"9","BAZ1A",0.888899435564803,0.0293981493784333,27.8515264448827,0.000503318914409895,0.160515993287132,5.18432995498729,2.16792836127411e-07,5.37616709279775e-06,0.345981221193434,1,"14",34752731,34875647,"protein_coding","bromodomain adjacent to zinc finger domain 1A"
"10","CHST6",0.871352924459497,0.0372092550147448,35.3094460949074,2.3481556869556e-05,0.227546851739641,4.5171925757843,6.26649106849619e-06,9.48644042809819e-05,0.495623803396143,1,"16",75472052,75495445,"protein_coding","carbohydrate sulfotransferase 6"
"11","TNS1",0.869992361790147,0.0183711897026618,17.3384936049804,0.0267711543510525,0.0754908896071922,6.41869587498446,1.37446720671619e-10,8.44320301224478e-09,0.464940314508827,1,"2",217799588,218033982,"protein_coding","tensin 1"
"12","RBPJ",0.825889046540521,0.0277070258533749,26.5829509190011,0.000834240468081611,0.150930584935819,4.96165715025672,6.98942875354547e-07,1.44863013995231e-05,0.224513851732902,1,"4",26163455,26435131,"protein_coding","recombination signal binding protein for immunoglobulin kappa J region"
